,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,Michelin Star Count
0,Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,87568,Creative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1
1,Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,5300,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1
2,Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,5020,Creative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1
3,Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,5020,Market cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1
5,Das Loft,2019,48.21272,16.37931,Wien,Austria,1020,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1
6,Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Austria,1090,Creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1
7,Walter Bauer,2019,48.20923,16.37672,Wien,Austria,1010,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1
8,SHIKI,2019,48.204067,16.37098,Wien,Austria,1010,Japanese,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1
9,Tian,2019,48.20513,16.37456,Wien,Austria,1010,Vegetarian,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1
10,aend,2019,48.18957,16.34115,Wien,Austria,1010,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1
11,Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Austria,1010,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1
99,Monte,2019,45.08279,13.631168,Rovinj,Croatia,52210,Creative,$$$$$,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,1
100,Draga di Lovrana,2019,45.275867,14.251401,Lovran,Croatia,51415,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1
101,Noel,2019,45.811054,15.988205,Zagreb,Croatia,10000,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,1
102,Pelegrini,2019,43.73603,15.888903,Šibenik,Croatia,22000,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,1
103,360º,2019,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1
104,Field,2019,50.0919,14.42193,Praha,Czech Republic,110 00,Modern cuisine,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,1
